,ServiceProvider,TestType,LSA,month,DataSpeed,RxLevel
2786,JIO,download,Assam,2019-03-01,6547.338897168405,-94.22891207153502
2787,JIO,download,Assam,2019-04-01,6189.801784328937,-96.33087664856478
2788,JIO,download,Assam,2019-05-01,5936.855906313645,-96.00560081466395
2789,JIO,download,Assam,2019-06-01,5850.072156196944,-96.23811544991511
2790,JIO,download,Assam,2019-07-01,5479.119934506754,-97.0871878837495
2791,JIO,download,Assam,2019-08-01,5439.103502558048,-96.63951200314837
2792,JIO,download,Assam,2019-09-01,4583.026610644258,-97.21942110177405
2793,JIO,download,Assam,2019-10-01,5835.559872272485,-96.59552953698775
2794,JIO,download,Assam,2019-11-01,5902.510037174721,-96.42602230483271
2795,JIO,download,Assam,2019-12-01,5634.717391304348,-93.71658615136876
2796,JIO,download,Assam,2020-01-01,5697.334622823984,-94.90135396518376
2797,JIO,download,Assam,2020-02-01,5906.516039051604,-92.72942817294282
2798,JIO,download,Assam,2020-03-01,5513.381141045958,-93.27812995245642
2799,JIO,download,Assam,2020-04-01,4545.884496124031,-92.9860465116279
2800,JIO,download,Assam,2020-05-01,4961.318018018018,-93.0963963963964
2801,JIO,download,Assam,2020-06-01,7291.210568454764,-90.2746196957566
2802,JIO,download,Assam,2020-07-01,6077.826729348556,-93.05775688381465
2803,JIO,download,Assam,2020-08-01,5723.030344827586,-88.99655172413793
2804,JIO,download,Assam,2020-09-01,5991.407648494711,-88.57038242473556
2805,JIO,download,Assam,2020-10-01,6992.756352765321,-85.83707025411061
2806,JIO,download,Assam,2020-11-01,6352.703971119134,-87.09747292418773
2807,JIO,download,Assam,2020-12-01,6107.020161290323,-88.74032258064516
2808,JIO,download,Bihar,2018-09-01,32596.499761602034,-84.88334392879847
2809,JIO,download,Bihar,2018-10-01,35755.67365916955,-83.76232698961938
2810,JIO,download,Bihar,2018-11-01,16736.99346227186,-87.8420049032961
2811,JIO,download,Bihar,2018-12-01,5829.200688791484,-91.87351283656857
2812,JIO,download,Bihar,2019-01-01,6714.4147532975085,-91.07254518808011
2813,JIO,download,Bihar,2019-02-01,8956.502842703727,-89.7195198989261
2814,JIO,download,Bihar,2019-03-01,14693.803118908381,-86.47653321337532
2815,JIO,download,Bihar,2019-04-01,7828.327839376686,-92.78154030566377
2816,JIO,download,Bihar,2019-05-01,4927.135535307517,-94.9009111617312
2817,JIO,download,Bihar,2019-06-01,6473.36220043573,-93.83006535947712
2818,JIO,download,Bihar,2019-07-01,15898.471789883268,-89.8000972762646
2819,JIO,download,Bihar,2019-08-01,16453.894428788208,-88.69239106871883
2820,JIO,download,Bihar,2019-09-01,10350.9025,-91.74222222222222
2821,JIO,download,Bihar,2019-10-01,26410.933262711864,-83.93555790960453
2822,JIO,download,Bihar,2019-11-01,33066.69976758926,-86.2913585463765
